"ID","Municipality","City","Country","Latitude","Longitude","LatLong","How",
1,"Hohoe","Volta","Ghana",7.1519,0.4738,"7.1519, 0.4738","bus",
2,,"Lomé","Togo",6.1256,1.2254,"6.1256, 1.2254","bus",
3,,"Cotonou","Benin",6.3703,2.3912,"6.3703, 2.3912","bus",
4,,"Seme","Benin",6.3832215726031,2.71196100584613,"6.3832215726031, 2.71196100584613","foot",
5,"Badagry","Lagos","Nigeria",6.4183,2.8901,"6.4183, 2.8901","okada",
6,"Aguda","Lagos","Nigeria",6.49,3.3414,"6.49, 3.3414","danfo",2004
7,,"Accra","Ghana",5.6037,-0.187,"5.6037, -0.187",,2009
8,"Isolo","Lagos","Nigeria",6.5355,3.3087,"6.5355, 3.3087",,2012
